10000,-400,10000,10000,-10000,1400,-10000,10000,-10000,1000,600,-10000,-10000,3600,-10000,2296,800,-600,-1000,10000,-10000,-600,10000,-10000,10000,10000,10000,-10000,10000,10000,-2000,-10000,10000,-10000,10000,-1000,-10000,10000,-10000,-10000,-10000,-1200,-10000,-1800,3000,-2600,-10000,10000,-400,10000,-960,-10000,-10000,10000,-10000,10000,600,400,10000,10000,10000,5400,-1200,-200,-10000,-10000,-10000,10000,3600,-10000,-800,-2800,10000,-10000,10000,-10000,-400,-5200,-10000,10000,-10000,-10000,-10000,10000,-200,-10000,800,10000,-2800,-10000,-10000,10000,-10000,4400,2400,-1600,600,10000,10000,-1600
-10000,-10000,222,10000,-1772,10000,-10000,10000,-10000,-10000,-10000,-200,-2200,-3800,-5400,-10000,0,10000,10000,10000,-10000,10000,10000,-10000,10000,10000,10000,-200,10000,-10000,-4200,-600,10000,10000,10000,800,10000,10000,600,400,-2600,10000,10000,-10000,-10000,10000,-200,-10000,10000,-10000,-1400,-10000,-10000,-10000,10000,-10000,400,-10000,10000,10000,600,10000,-10000,-2400,-10000,-10000,-10000,400,-1000,-10000,10000,-10000,10000,-600,10000,-10000,-10000,800,-10000,-3200,-1800,-10000,10000,800,-1000,-10000,-10000,-10000,-1600,-10000,10000,4218,-600,-1000,10000,1852,-10000,10000,-2000,800
1400,10000,400,10000,10000,-10000,-10000,10000,10000,-10000,542,1400,-2514,3000,-10000,-10000,10000,10000,3400,-1200,10000,-10000,-10000,10000,10000,10000,10000,-200,2400,-10000,-10000,10000,-10000,-10000,800,10000,-800,10000,-3000,-600,-10000,10000,-200,10000,-1400,-4400,10000,-3000,-1200,-5400,-10000,10000,10000,5200,-3102,-1600,10000,10000,-10000,-200,-600,-10000,-1200,-10000,10000,10000,2400,10000,-10000,-10000,-10000,-2600,10000,1400,3800,-10000,-10000,-2600,10000,10000,2200,400,10000,-3200,-10000,1200,10000,10000,-10000,10000,10000,-10000,-10000,10000,10000,10000,-10000,-10000,10000,-5200
-10000,600,10000,10000,-10000,2400,-10000,-10000,10000,10000,10000,2400,400,10000,-10000,10000,10000,10000,2000,0,10000,-2380,2000,10000,-10000,10000,1800,10000,10000,-1600,-10000,1200,10000,-10000,10000,-5028,-10000,-10000,-3400,3904,-1600,-2000,-10000,800,10000,4200,10000,10000,-5200,2200,-10000,10000,10000,10000,10000,-3000,-10000,1000,-10000,-10000,-3200,10000,10000,-10000,10000,-1000,2200,-10000,-10000,-1646,-200,10000,10000,-10000,-10000,-10000,10000,-10000,-10000,10000,-10000,-2800,10000,-10000,-10000,1520,-10000,-10000,-1000,-10000,10000,10000,-1600,-2200,2400,-10000,-10000,10000,10000,-10000
10000,-10000,-10000,-1400,-10000,-10000,-2200,10000,-5502,10000,-10000,-10000,10000,10000,-3298,10000,-2538,-1106,10000,4712,-4200,10000,-2492,-10000,-10000,-10000,-10000,-10000,-10000,10000,-10000,-3644,-4898,-1800,10000,10000,-10000,10000,4012,10000,10000,-856,-10000,10000,-10000,-10000,-10000,3320,-10000,-10000,-10000,-10000,10000,10000,-4400,-1752,3000,3400,-4378,-10000,-10000,878,10000,10000,-10000,10000,10000,-5200,-10000,10000,-10000,10000,-10000,-10000,400,-800,10000,10000,22,10000,-10000,-10000,1000,-10000,2400,-10000,-10000,-10000,10000,-10000,10000,-1316,-10000,-10000,-1034,-4756,400,1400,-10000,600
-10000,-10000,10000,10000,2614,-718,-10000,10000,4450,-10000,-794,-2624,-1194,10000,1424,-10000,-998,-1386,-1888,1542,-10000,-10000,5168,-1532,10000,2410,10000,-686,-480,1042,-4572,1156,-2888,-10000,5186,-3898,-10000,-10000,-10000,-10000,10000,1214,2652,10000,-692,-10000,-10000,-10000,-10000,10000,-1130,2118,-10000,-10000,-10000,-248,-10000,-10000,-1456,-10000,40,-10000,-10000,-10000,10000,2090,10000,1334,-3754,-10000,-10000,-10000,-10000,34,-1964,-1914,10000,10000,10000,10000,-396,-2672,-10000,-10000,-1142,-10000,754,10000,10000,-286,-10000,-3350,-10000,10000,10000,-10000,-10000,-10000,-2500,4832
10000,10000,-10000,-10000,222,-10000,2164,-10000,-9998,10000,-10000,1982,-10000,10000,826,-10000,212,950,-774,10000,10000,-10000,-10000,-1606,2284,-10000,10000,7100,10000,10000,-10000,1526,-1764,3498,10000,-10000,-10000,-2158,-10000,-10000,-620,-10000,-10000,-10000,10000,-10000,10000,10000,10000,-10000,4256,-186,-6100,7294,432,-444,-3560,-10000,10000,-10000,-10000,-10000,-456,-10000,10000,-10000,2178,366,10000,274,-10000,10000,-1654,-10000,10000,-10000,10000,-10000,2090,-10000,-4946,-10000,10000,10000,2762,-10000,-10000,-10000,10000,-10000,-2290,3808,-220,10000,10000,-3032,-754,-1292,-10000,10000
10000,-2046,10000,-216,-10000,-536,10000,-10000,-10000,202,684,-10000,1938,10000,-9998,-10000,-10000,4274,-676,-5550,2052,-10000,10000,-10000,10000,-1132,1958,-664,-9998,10000,10000,-10000,10000,10000,-10000,-10000,10000,-3382,10000,-10000,1520,362,-10000,10000,-10000,-10000,2434,10000,-10000,-154,10000,-10000,10000,10000,10000,10000,-10000,1404,-1908,-3950,-634,-9998,10000,-10000,10000,-10000,-9998,-2850,1640,-382,10000,-1150,-10000,292,-10000,-10000,-4804,-4932,-3580,-24,-518,4512,10,2080,-10000,10000,-74,9998,-1452,-10000,10000,2786,10000,10000,9998,-10000,-10000,10000,-10000,-10000
10000,9998,3598,-9998,-1530,4346,-10000,2296,10000,4460,588,-10000,-9998,-9998,9998,-9998,10000,1052,-9998,1916,3758,9998,-10000,716,1836,10000,10000,9998,1274,4358,-10000,10000,-844,1290,230,9998,-10000,10000,9998,1694,-10000,1494,3790,-6668,1318,10000,9998,-10000,-2624,-322,10000,9996,-10000,9998,-2466,9998,10000,1604,-2326,2018,-10000,36,10000,10000,-3576,10000,-9998,9998,-9998,908,10000,-5380,-964,10000,-4348,1258,-9998,-9996,2678,-736,-10000,4878,-10000,10000,10000,9998,1210,-10000,-9998,2380,242,10000,-186,-9998,9998,9998,-4526,4558,9998,166
-9992,3032,9998,-1418,9996,2214,3642,-6,-9998,10000,-9998,9998,9994,4172,-9994,-9996,-9994,-9996,9992,10000,-9992,-308,-9998,9996,10000,-168,-9994,3110,-10000,-1494,9998,9994,9998,9998,-9996,9998,9994,-1484,832,-5508,3520,-3442,9998,-1080,-1534,-9996,-9998,9994,9992,-1206,1430,-9998,-9996,-9996,-4192,-2230,10000,9996,42,-9994,4354,4544,9992,4878,-9990,1194,5060,-9996,-2486,9998,9996,9994,9998,9998,9996,2560,-9996,10000,9996,9996,9998,9996,9994,-9998,-2494,2346,-532,-9998,-3352,-1198,-9996,-3322,4312,-880,-9996,9998,9988,3010,-10000,-1794
-1926,-6426,9994,228,-9996,9988,-5836,-9998,-1532,1338,6862,9982,-9996,960,3534,9990,-906,-144,10000,1580,9986,-9988,-9994,9996,-9994,-9996,9990,-54,9986,-9986,-9988,-9998,-9992,-9996,9990,-9992,-9990,9992,-4618,-9998,-9992,-962,1970,-9990,-9988,-4862,-9990,-3164,1864,9996,3850,-5582,9990,9990,-1814,9996,9990,9992,-9990,-1732,9992,9996,-9984,-9980,-9990,9984,-9992,9984,-2102,9992,-1404,9982,9992,9992,830,-9998,-1284,-9982,-3878,9996,-9982,1224,-224,-9996,9988,9996,9992,9984,-1262,9988,9998,9996,9988,-9984,676,-9996,1462,3010,-9982,1736
9982,-9970,156,-9990,9968,2394,9972,-1602,-422,-9978,-9986,-6942,3864,-9990,-2954,-9982,2042,2354,9986,2644,-9974,9988,9972,-3484,-9974,-9974,-9982,9972,-642,4676,-9978,810,-9978,-9974,9986,158,856,9984,-9986,38,9976,-3296,2584,9986,9988,-9986,4940,-9982,-9996,-9974,-9984,-2108,-5102,-9984,-9990,-9964,9976,9978,-9988,9984,-2992,-9988,9982,9986,1348,-9982,-9986,12,-9980,9986,9986,9982,-9988,-4760,9984,-1672,-9980,9992,9974,-9980,9996,1108,9978,9982,9982,-9976,-9984,5890,208,9978,-9984,2286,-9984,9978,116,736,9978,1466,9992,-1328
-9968,4126,1002,1402,1536,-9974,-834,-9970,-378,-9966,894,-6070,9958,-9960,-9966,9972,-9968,9960,478,9946,9962,-9962,9966,9970,9962,2646,9958,-9976,-2112,-3200,3084,-3180,-174,9962,-7066,2498,-1938,9962,9962,9976,9966,-9972,-3778,-9972,9952,-9978,-9950,9980,9954,-9968,-9966,-9954,-9960,-9972,-6080,9970,9952,-9954,1172,802,-2124,-9956,-9958,-1206,9974,2470,9976,-9960,9966,-9976,284,-2614,-9960,4138,878,-9972,9968,450,9950,9964,9972,9962,-9960,9968,-9960,9964,9982,-2586,-1826,9986,-9972,9952,-160,-9966,9972,2932,-9974,9954,9974,9974
-1932,2642,-590,-9904,-9926,-2468,-9940,-9930,9946,-9954,9952,620,9924,3178,-9944,-9954,-4360,-9934,9956,-9938,2568,-9944,-4556,-9952,1098,-1500,-9948,-1082,9948,-2202,9914,9946,9936,-588,-9948,-9936,9954,1998,-9948,9942,470,-9934,9948,9918,-9956,-9934,9910,9956,9916,-2498,9948,-3748,9938,-9936,924,9930,9938,4282,-9938,9922,9932,-9936,-9922,-9924,-9948,-9954,-9940,-9932,-9948,9950,9932,1742,9938,-4140,-9934,9894,-1596,9946,-9952,1648,1212,-9946,9960,9944,3144,9954,9952,-3924,-9934,-9930,-9948,-9932,9936,9940,-9944,-9936,3172,9928,-9956,-9950
6166,-9898,2906,-1964,-2712,1222,9900,-1972,178,9912,2418,932,-9932,-1064,-9926,-9932,9924,9884,-2322,9906,-9906,-9890,9912,-9912,22,-3506,-9896,9884,-9942,-9900,116,-9896,9900,-392,-9878,9918,2332,-9890,-9918,9886,-9884,9906,-792,1776,9888,-9908,-22,-9918,9912,-9942,-3238,-3274,-3416,-9892,-2488,9880,-9898,9900,-5890,-118,9864,-1072,5290,924,-9918,1838,-9910,5020,-5002,-9928,5484,-9880,-6418,-9912,-9864,1946,-9900,-5318,-4556,9892,-364,9902,9912,9902,5286,-9916,-1244,-9912,-1382,3094,-2798,-9890,9878,-2382,-9912,-1936,-9886,-9884,-9922,-9904
9852,-9834,-1440,-9836,-430,9848,9840,9882,2222,-1398,-3302,-9862,-9866,-9866,9896,4322,-9880,-9838,9872,-9834,-9850,-2310,-9810,-9848,-9868,9844,9830,-9814,-9858,-4138,9850,-3640,3742,-9874,3978,-9846,20,9850,9886,9882,-9850,9830,-286,-9854,9880,-714,9844,9868,-9860,1774,9866,9848,-9834,9836,9860,-9834,3704,9868,-384,3688,9824,9862,9844,9870,-4178,9858,-1764,476,-2456,9858,9850,9868,-9822,9810,9842,880,1416,4890,9810,-9824,-9834,9826,3080,2838,3514,9854,9854,9878,4330,-9822,9872,-9834,-2670,3514,-1254,-9842,9870,-9790,-9832,-9874
9790,-9758,9770,9702,-9772,-9778,9792,-9760,9764,-9754,-68,-9748,4666,9754,-356,-9726,-2716,2352,9776,1122,-1188,-2920,3578,9724,9782,-9802,340,-9770,-9756,-9818,-5372,-9790,9792,-9784,9756,9714,-2180,-9786,-2082,-9788,-9712,-1534,-2092,9768,-3666,9840,-9756,1866,1996,-9818,-2050,1480,-2394,2856,-4882,-9776,9780,9800,9758,9726,-9824,-1246,-9760,9778,9850,-9780,-5148,-2680,-516,-9772,-9766,9784,-9748,-9738,-5292,9770,-9724,9750,-380,3414,-9748,2816,-9770,9776,9762,-1434,-9786,9770,-2568,9812,-9722,-9778,9810,9746,-9750,2966,90,9718,-9750,-9750
-9618,-9654,1502,9600,-2454,9626,9752,9674,4470,9666,-9718,-9622,9698,190,-9664,-9644,-9666,784,-2386,-9624,-4404,9638,-9642,9664,384,-9600,-9558,440,9652,-9640,9684,-8446,9618,-9686,-9680,9752,9650,9694,-1558,-9596,9706,9652,9654,-9590,9740,-9648,130,686,-9648,-9688,-9638,9662,1176,-9670,-9604,2754,-9636,-2532,9670,-468,3764,-9654,3644,9678,2828,-9650,-9650,-640,9674,9632,3036,-9692,9676,9666,2084,-2912,-9646,9684,9686,-3004,-9662,-2450,9666,-9676,9654,-9618,-4470,-752,-9704,-9656,800,9630,-9656,9622,9600,9654,-9664,-1194,-9672,-9646
-9508,2322,9546,-9544,-1310,-9594,-9526,-9578,9428,-9552,9552,-9592,-9556,9476,9446,-7332,-9480,-9520,-9524,-3630,1284,-9416,9528,9540,9614,9464,9460,-9386,-9472,122,-9464,-9474,-9536,9514,-9496,-1398,-9510,9564,9486,9516,-9444,9566,-9498,2316,-9476,9472,3980,9470,-9528,9528,-9436,2132,9550,9518,9454,9472,-9504,-9522,4322,9576,9528,-9576,9480,-3250,-2224,1622,9438,9534,9470,9506,-1108,-9582,9530,-9526,-6292,-9508,9560,-9562,-9442,3720,894,-9430,9412,2042,9478,9466,9496,-9538,-3416,-9568,9542,-9560,-9468,9546,3138,3408,3318,9456,-9556,9434
